,MBH_SIGMA,MBH_WISE
182,8.55634880065918,8.356717063304158
183,7.273719310760498,8.315038007315179
184,7.161935329437256,7.856121122786036
185,7.678947925567627,8.402646988812048
186,8.187936782836914,8.223586660334313
187,7.0913567543029785,6.905642905373007
188,8.190328598022461,8.090555057694678
189,6.712869167327881,7.19398850603439
190,8.134639739990234,8.00789614761235
191,9.487916946411133,8.678648962507154
192,6.837494373321533,7.289824573912257
193,7.985230922698975,7.703000666085292
194,9.390453338623047,9.052885305058668
195,8.068742752075195,8.947079709690907
196,8.358572006225586,7.7822421364752
197,9.696619033813477,9.793997416548105
198,7.591984272003174,7.72563412918433
199,6.820103168487549,6.709911233051853
200,7.27550745010376,8.218192641751692
201,8.859172821044922,8.578763426305406
202,7.116404056549072,7.071799374027047
203,9.268606185913086,8.870399134554539
204,7.909390926361084,9.158725081187505
205,8.254013061523438,7.951134234931289
206,8.215307235717773,7.05905147883832
207,9.317255020141602,9.212666528543263
208,7.199193477630615,7.715183370136954
209,8.764495849609375,9.000300496862254
210,8.701349258422852,8.385377883400437
211,7.579509258270264,8.13522600958822
212,7.319747447967529,7.775233809410603
213,8.891929626464844,9.159217419741502
214,7.102952480316162,7.097620483336099
215,9.21432113647461,9.118215298352755
216,8.690811157226562,8.962816606076705
217,9.596271514892578,9.017108874237163
218,9.140657424926758,8.389636207177025
219,8.148080825805664,8.578902560224062
220,7.219427585601807,7.035127120578102
221,8.850236892700195,8.614267909670948
222,8.273698806762695,8.005097757647682
223,9.732759475708008,8.91651997472895
224,9.039133071899414,8.516272245676454
225,8.967994689941406,8.786679153887412
226,8.569549560546875,8.302109160352371
227,8.516277313232422,7.588528813538135
228,7.954931735992432,7.752610417230243
229,8.794965744018555,9.149498968946936
230,9.250654220581055,9.592182448109288
231,9.423406600952148,8.269350660765394
232,8.547163009643555,8.128122036578388
233,6.66898775100708,7.111486081428527
234,6.650254726409912,7.861789307887758
235,8.774696350097656,8.7392078626599
236,7.210252285003662,7.576861008766372
237,9.092071533203125,8.933596647206109
238,9.211267471313477,9.344968197056923
239,9.223459243774414,8.856447972181517
240,9.124841690063477,8.457213936514995
241,8.330631256103516,7.600441771466784
242,9.188230514526367,8.99162309056617
243,9.129598617553711,8.441922067426576
244,8.925954818725586,9.220335186832365
245,9.182821273803711,9.20430521112188
246,8.319356918334961,8.267383398818778
247,8.424264907836914,8.226375711904783
248,9.213558197021484,8.989224471858687
249,8.98830795288086,8.885729183206749
250,9.049819946289062,9.303614615423017
251,7.4525017738342285,8.665739307689158
252,9.123254776000977,8.792764178489023
253,8.021581649780273,8.571684467049451
254,6.815734386444092,7.209535860529598
255,9.217370986938477,9.358587613990014
256,8.391654968261719,8.228674380937328
257,8.46066665649414,8.34565904174041
258,7.933614253997803,7.780951574414313
259,7.738050937652588,7.796950532253676
260,8.548185348510742,8.278539965186312
261,8.945785522460938,8.639812700399428
262,8.668622970581055,8.97049267600487
263,8.091337203979492,8.333561653008516
264,8.993356704711914,9.090865932727766
265,7.3853888511657715,7.911998179873979
266,8.47549057006836,7.741612985234493
267,8.533830642700195,8.3800130600461
268,8.370758056640625,8.565663348891832
269,9.340473175048828,8.89979484583448
270,8.150516510009766,8.88941674185319
271,9.712003707885742,9.346540092499797
272,8.39603042602539,8.337552160450649
273,7.756933689117432,8.047678309127283
274,8.852922439575195,8.320396787079892
275,7.844899654388428,8.113922054638403
276,8.160232543945312,8.338337834495
277,8.368547439575195,8.656060222151062
278,8.231807708740234,8.636948587349147
279,8.425344467163086,8.737870672853724
280,7.419192790985107,7.798943269233
281,8.569549560546875,7.943230788531092
282,8.503805160522461,8.774821950868077
283,8.70039176940918,8.925984549700399
284,7.8281378746032715,8.030315490212143
285,9.291585922241211,9.063191947813191
286,7.8725666999816895,8.622135270329032
287,9.086429595947266,9.031385038373895
288,8.439325332641602,8.477966196845053
289,8.20225715637207,8.723796727977284
290,8.868959426879883,8.442390700916325
291,7.771353244781494,8.128128302767315
292,8.645235061645508,8.064167694127828
293,7.882171154022217,8.022449310456821
294,9.320169448852539,9.166851772762493
295,8.780242919921875,8.677935472942384
296,9.328166961669922,8.851518487501082
297,9.364171981811523,9.151276789903063
298,8.500677108764648,8.559878387402444
299,8.9320068359375,9.013781741869472
300,9.58980941772461,9.135303882643942
301,8.478652954101562,8.790933376603569
302,9.39891242980957,9.424450366414845
303,8.960332870483398,9.11417044205157
304,9.151664733886719,8.912768092104422
305,8.641313552856445,7.947746080213859
306,8.05101203918457,8.007615865110708
307,8.513166427612305,8.591767127888671
308,9.391864776611328,9.190671159842228
309,8.803205490112305,8.902197209019313
310,8.952640533447266,8.9015659890027
311,7.905328273773193,7.751963825023056
312,6.932924747467041,6.415904292613862
313,8.708028793334961,7.921069080791877
314,9.800416946411133,9.20048047761351
315,8.765424728393555,9.011505987230102
316,8.925954818725586,9.087051915539549
317,9.270095825195312,8.751919295835442
318,8.365226745605469,8.057105679407705
319,6.638468265533447,7.345941267532123
320,8.16386604309082,8.549463496652082
321,9.383378982543945,9.08742131176051
322,9.200546264648438,8.609732570645175
323,8.918146133422852,7.9025000866110116
324,9.36916732788086,9.163804711314071
